experiment,test_type,context_precision,context_recall,faithfulness
experiment_1,easy,0.6949999999600306,0.7,0.814111111111111
experiment_1,hard,0.8126068375655189,0.8371794871794872,0.8060792978213255
experiment_2,easy,0.6385555555177315,0.7,0.8543852813852815
experiment_2,hard,0.7905769230333575,0.8564102564102564,0.8177553268884539
experiment_3,easy,0.7128,0.76,0.9336
experiment_3,hard,0.7536111110616398,0.7153846153846154,0.7815039976703058
experiment_4,easy,0.7298611110595469,0.8,0.9235787545787546
experiment_4,hard,0.8231410255913617,0.7933333333333332,0.8200737416839464
